meterid,datetime,Actual_Reading,Predicted_Normal,Difference,Theft_Detected
1000,2010-06-01 18:00:00,0.022,0.2927783095238095,0.2707783095238095,1
1000,2010-06-01 18:30:00,0.765,0.2390262063492063,-0.5259737936507938,0
1000,2010-06-01 19:00:00,0.191,0.12734016666666664,-0.06365983333333336,0
1000,2010-06-01 19:30:00,0.188,0.2183409761904762,0.03034097619047621,0
1000,2010-06-01 20:00:00,0.123,0.6409318008658009,0.5179318008658009,1
1000,2010-06-01 20:30:00,0.208,0.31176538888888883,0.10376538888888884,0
1000,2010-06-01 21:00:00,0.308,0.4170992857142858,0.10909928571428579,0
1000,2010-06-01 21:30:00,0.162,0.5666922301587303,0.40469223015873024,1
1000,2010-06-01 22:00:00,0.104,0.3939019126984127,0.2899019126984127,1
1000,2010-06-01 22:30:00,0.527,0.3763042619047618,-0.15069573809523823,0
1000,2010-06-01 23:00:00,0.266,0.3129255873015872,0.04692558730158719,0
1000,2010-06-01 23:30:00,0.145,0.23331980952380957,0.08831980952380958,0
1000,2010-06-02 00:00:00,0.036,0.10640307142857142,0.07040307142857141,1
1000,2010-06-02 00:30:00,0.1009999999999999,0.06669061904761904,-0.034309380952380855,0
1000,2010-06-02 01:00:00,0.077,0.06844410822510825,-0.008555891774891744,0
1000,2010-06-02 01:30:00,0.021,0.05016545670995672,0.02916545670995672,1
1000,2010-06-02 02:00:00,0.021,0.08883185714285713,0.06783185714285712,1
1000,2010-06-02 02:30:00,0.074,0.031397857142857144,-0.04260214285714285,0
1000,2010-06-02 03:00:00,0.094,0.03237995238095238,-0.06162004761904762,0
1000,2010-06-02 03:30:00,0.021,0.06358783333333333,0.042587833333333325,1
1000,2010-06-02 04:00:00,0.021,0.0646817619047619,0.04368176190476189,1
1000,2010-06-02 04:30:00,0.039,0.0735742142857143,0.0345742142857143,0
1000,2010-06-02 05:00:00,0.111,0.060171047619047596,-0.050828952380952405,0
1000,2010-06-02 05:30:00,0.031,0.02268847619047619,-0.00831152380952381,0
1000,2010-06-02 06:00:00,0.021,0.022196238095238102,0.001196238095238101,0
1000,2010-06-02 06:30:00,0.021,0.057658428571428555,0.03665842857142855,1
1000,2010-06-02 07:00:00,0.13,0.08593338095238096,-0.04406661904761905,0
1000,2010-06-02 07:30:00,1.867,0.3387528095238095,-1.5282471904761905,0
1000,2010-06-02 08:00:00,0.996,0.5076006349206351,-0.4883993650793649,0
1000,2010-06-02 08:30:00,0.2239999999999999,1.3930555079365081,1.1690555079365081,1
1000,2010-06-02 09:00:00,0.237,0.37542447619047614,0.13842447619047615,0
1000,2010-06-02 09:30:00,0.248,0.0979081904761905,-0.15009180952380952,0
1000,2010-06-02 10:00:00,0.09,0.08044171428571426,-0.009558285714285741,0
1000,2010-06-02 10:30:00,0.025,0.49668532539682547,0.47168532539682545,1
1000,2010-06-02 11:00:00,0.066,0.10738677777777773,0.04138677777777773,0
1000,2010-06-02 11:30:00,0.095,0.10366526984126986,0.008665269841269863,0
1000,2010-06-02 12:00:00,0.025,0.35681126190476187,0.33181126190476185,1
1000,2010-06-02 12:30:00,0.025,0.24855254761904763,0.22355254761904764,1
1000,2010-06-02 13:00:00,0.05,0.23983895238095243,0.18983895238095244,1
1000,2010-06-02 13:30:00,0.11,0.2738585238095238,0.16385852380952382,1
1000,2010-06-02 14:00:00,0.025,0.31275830158730167,0.28775830158730165,1
1000,2010-06-02 14:30:00,0.025,0.23534735714285712,0.21034735714285713,1
